3PBL_A_ETQ_0001,-730.214,-10.674,0.487
3PBL_A_ETQ_0002,-735.299,-11.809,0.399
3PBL_A_ETQ_0003,-740.139,-12.267,0.408
3PBL_A_ETQ_0004,-739.866,-11.914,0.409
3PBL_A_ETQ_0005,-736.618,-11.012,0.435
3PBL_A_ETQ_0006,-730.437,-11.840,0.327
3PBL_A_ETQ_0007,-733.917,-10.979,0.323
3PBL_A_ETQ_0008,-739.471,-11.493,0.337
3PBL_A_ETQ_0009,-733.131,-11.860,0.300
3PBL_A_ETQ_0010,-736.054,-11.094,0.278
3PBL_A_ETQ_0011,-737.242,-11.988,0.290
3PBL_A_ETQ_0012,-736.981,-11.753,0.365
3PBL_A_ETQ_0013,-731.206,-11.952,0.309
3PBL_A_ETQ_0014,-731.542,-11.842,0.326
3PBL_A_ETQ_0015,-703.123,-10.184,2.202
3PBL_A_ETQ_0016,-735.296,-7.980,1.846
3PBL_A_ETQ_0017,-734.978,-10.852,0.411
3PBL_A_ETQ_0018,-727.645,-11.381,0.419
3PBL_A_ETQ_0019,-732.402,-11.550,0.367
3PBL_A_ETQ_0020,-736.152,-11.662,0.343
3PBL_A_ETQ_0021,-702.435,-3.214,6.627
3PBL_A_ETQ_0022,-735.285,-11.648,0.355
3PBL_A_ETQ_0023,-734.744,-11.842,0.348
3PBL_A_ETQ_0024,-727.960,-11.824,0.357
3PBL_A_ETQ_0025,-734.144,-11.448,0.293
3PBL_A_ETQ_0026,-734.344,-11.611,0.290
3PBL_A_ETQ_0027,-734.567,-11.570,0.438
3PBL_A_ETQ_0028,-704.885,-7.792,3.421
3PBL_A_ETQ_0029,-732.283,-12.382,0.316
3PBL_A_ETQ_0030,-736.640,-11.570,0.346
3PBL_A_ETQ_0031,-738.206,-11.367,0.400
3PBL_A_ETQ_0032,-733.206,-11.417,0.315
3PBL_A_ETQ_0033,-733.849,-12.009,0.354
3PBL_A_ETQ_0034,-729.773,-11.524,0.426
3PBL_A_ETQ_0035,-729.863,-11.925,0.297
3PBL_A_ETQ_0036,-733.064,-11.652,0.540
3PBL_A_ETQ_0037,-727.233,-11.887,0.312
3PBL_A_ETQ_0038,-714.214,-10.419,1.477
3PBL_A_ETQ_0039,-733.206,-11.758,0.354
3PBL_A_ETQ_0040,-747.220,-11.419,0.327
3PBL_A_ETQ_0041,-738.028,-12.223,0.328
3PBL_A_ETQ_0042,-741.396,-11.902,0.330
3PBL_A_ETQ_0043,-730.547,-11.292,0.330
3PBL_A_ETQ_0044,-732.577,-11.202,0.390
3PBL_A_ETQ_0045,-733.168,-10.391,0.358
3PBL_A_ETQ_0046,-734.835,-11.406,0.378
3PBL_A_ETQ_0047,-741.362,-10.878,0.300
3PBL_A_ETQ_0048,-740.980,-10.480,0.234
3PBL_A_ETQ_0049,-738.168,-11.591,0.385
3PBL_A_ETQ_0050,-739.588,-12.020,0.422
3PBL_A_ETQ_0051,-715.690,-9.207,4.746
3PBL_A_ETQ_0052,-702.679,-2.465,2.452
3PBL_A_ETQ_0053,-711.651,-5.071,2.378
3PBL_A_ETQ_0054,-697.653,-5.873,6.029
3PBL_A_ETQ_0055,-742.366,-11.814,0.355
3PBL_A_ETQ_0056,-737.996,-11.620,0.336
3PBL_A_ETQ_0057,-730.664,-11.859,0.402
3PBL_A_ETQ_0058,-736.715,-11.474,0.375
3PBL_A_ETQ_0059,-736.415,-11.353,0.412
3PBL_A_ETQ_0060,-727.051,-11.478,0.300
3PBL_A_ETQ_0061,-734.860,-11.445,0.349
3PBL_A_ETQ_0062,-737.783,-11.507,0.346
3PBL_A_ETQ_0063,-740.167,-10.974,0.411
3PBL_A_ETQ_0064,-732.691,-11.634,0.336
3PBL_A_ETQ_0065,-742.335,-11.418,0.301
3PBL_A_ETQ_0066,-737.179,-11.333,0.357
3PBL_A_ETQ_0067,-739.891,-11.450,0.359
3PBL_A_ETQ_0068,-735.336,-11.715,0.369
3PBL_A_ETQ_0069,-743.324,-11.940,0.266
3PBL_A_ETQ_0070,-739.326,-11.134,0.343
3PBL_A_ETQ_0071,-713.488,-7.836,2.090
3PBL_A_ETQ_0072,-726.078,-11.819,0.328
3PBL_A_ETQ_0073,-726.455,-11.451,0.302
3PBL_A_ETQ_0074,-706.229,-7.563,2.319
3PBL_A_ETQ_0075,-727.581,-11.494,0.284
3PBL_A_ETQ_0076,-732.313,-11.645,0.392
3PBL_A_ETQ_0077,-733.605,-11.031,0.345
3PBL_A_ETQ_0078,-718.319,-9.209,0.561
3PBL_A_ETQ_0079,-725.951,-10.417,0.357
3PBL_A_ETQ_0080,-726.889,-11.504,0.333
3PBL_A_ETQ_0081,-727.392,-11.721,0.317
3PBL_A_ETQ_0082,-727.909,-11.563,0.359
3PBL_A_ETQ_0083,-700.743,-5.027,3.726
3PBL_A_ETQ_0084,-729.122,-10.976,0.376
3PBL_A_ETQ_0085,-728.972,-11.672,0.446
3PBL_A_ETQ_0086,-742.133,-12.134,0.329
3PBL_A_ETQ_0087,-737.395,-11.417,0.497
3PBL_A_ETQ_0088,-714.241,-9.002,2.055
3PBL_A_ETQ_0089,-710.927,-11.329,3.166
3PBL_A_ETQ_0090,-722.031,-11.050,0.544
3PBL_A_ETQ_0091,-730.973,-11.262,0.491
3PBL_A_ETQ_0092,-737.520,-11.366,0.337
3PBL_A_ETQ_0093,-720.661,-10.503,0.288
3PBL_A_ETQ_0094,-739.347,-11.663,0.345
3PBL_A_ETQ_0095,-729.718,-11.515,0.329
3PBL_A_ETQ_0096,-735.483,-12.100,0.380
3PBL_A_ETQ_0097,-692.501,-4.438,2.838
3PBL_A_ETQ_0098,-722.937,-9.842,1.026
3PBL_A_ETQ_0099,-740.684,-11.535,0.342
3PBL_A_ETQ_0100,-710.332,-11.652,0.427
3PBL_A_ETQ_0101,-720.685,-4.854,7.141
3PBL_A_ETQ_0102,-734.611,-11.348,0.385
3PBL_A_ETQ_0103,-715.625,-11.918,0.460
3PBL_A_ETQ_0104,-735.432,-11.797,0.392
3PBL_A_ETQ_0105,-740.692,-11.344,0.375
3PBL_A_ETQ_0106,-723.547,-10.540,0.305
3PBL_A_ETQ_0107,-723.951,-9.428,6.963
3PBL_A_ETQ_0108,-734.645,-10.807,0.432
3PBL_A_ETQ_0109,-730.905,-12.163,0.363
3PBL_A_ETQ_0110,-738.154,-11.959,0.303
3PBL_A_ETQ_0111,-734.800,-11.641,0.325
3PBL_A_ETQ_0112,-741.134,-11.491,0.293
3PBL_A_ETQ_0113,-725.794,-11.153,0.463
3PBL_A_ETQ_0114,-700.143,-7.429,6.745
3PBL_A_ETQ_0115,-735.029,-11.658,0.345
3PBL_A_ETQ_0116,-728.156,-11.884,0.347
3PBL_A_ETQ_0117,-715.572,-9.049,1.000
3PBL_A_ETQ_0118,-736.366,-11.701,0.285
3PBL_A_ETQ_0119,-698.960,-1.856,2.372
3PBL_A_ETQ_0120,-727.834,-12.143,0.348
3PBL_A_ETQ_0121,-736.344,-11.803,0.368
3PBL_A_ETQ_0122,-734.749,-10.605,0.362
3PBL_A_ETQ_0123,-730.372,-11.739,0.394
3PBL_A_ETQ_0124,-731.041,-11.237,0.343
3PBL_A_ETQ_0125,-734.124,-11.292,0.413
3PBL_A_ETQ_0126,-737.030,-9.997,0.824
3PBL_A_ETQ_0127,-745.519,-11.402,0.266
3PBL_A_ETQ_0128,-732.472,-11.892,0.377
3PBL_A_ETQ_0129,-739.430,-11.465,0.330
3PBL_A_ETQ_0130,-733.290,-11.692,0.349
3PBL_A_ETQ_0131,-741.320,-11.638,0.300
3PBL_A_ETQ_0132,-736.356,-11.895,0.279
3PBL_A_ETQ_0133,-734.292,-12.190,0.332
3PBL_A_ETQ_0134,-732.618,-11.530,0.334
3PBL_A_ETQ_0135,-727.649,-11.940,0.401
3PBL_A_ETQ_0136,-738.747,-11.854,0.308
3PBL_A_ETQ_0137,-739.812,-11.042,0.284
3PBL_A_ETQ_0138,-729.986,-11.874,0.463
3PBL_A_ETQ_0139,-739.488,-11.838,0.331
3PBL_A_ETQ_0140,-734.668,-11.171,0.331
3PBL_A_ETQ_0141,-712.264,-6.083,3.883
3PBL_A_ETQ_0142,-702.567,-6.688,4.398
3PBL_A_ETQ_0143,-689.059,-0.100,6.614
3PBL_A_ETQ_0144,-729.756,-11.830,0.339
3PBL_A_ETQ_0145,-738.104,-11.940,0.351
3PBL_A_ETQ_0146,-728.140,-12.067,0.371
3PBL_A_ETQ_0147,-729.606,-11.950,0.444
3PBL_A_ETQ_0148,-739.638,-11.758,0.356
3PBL_A_ETQ_0149,-734.446,-11.438,0.369
3PBL_A_ETQ_0150,-728.753,-11.141,0.324
3PBL_A_ETQ_0151,-734.626,-12.069,0.363
3PBL_A_ETQ_0152,-733.571,-12.040,0.299
3PBL_A_ETQ_0153,-737.679,-11.377,0.316
3PBL_A_ETQ_0154,-738.028,-11.666,0.474
3PBL_A_ETQ_0155,-729.230,-11.697,0.395
3PBL_A_ETQ_0156,-719.022,-9.888,0.294
3PBL_A_ETQ_0157,-731.245,-11.610,0.335
3PBL_A_ETQ_0158,-726.980,-11.392,0.323
3PBL_A_ETQ_0159,-730.110,-11.337,0.296
3PBL_A_ETQ_0160,-740.685,-11.715,0.314
3PBL_A_ETQ_0161,-737.638,-12.063,0.399
3PBL_A_ETQ_0162,-734.032,-11.665,0.375
3PBL_A_ETQ_0163,-710.848,-9.130,4.300
3PBL_A_ETQ_0164,-713.655,-10.552,0.660
3PBL_A_ETQ_0165,-728.075,-11.421,0.295
3PBL_A_ETQ_0166,-727.302,-11.183,0.349
3PBL_A_ETQ_0167,-736.705,-11.285,0.414
3PBL_A_ETQ_0168,-738.015,-11.495,0.285
3PBL_A_ETQ_0169,-725.428,-12.064,0.394
3PBL_A_ETQ_0170,-728.508,-11.384,0.389
3PBL_A_ETQ_0171,-730.850,-11.854,0.269
3PBL_A_ETQ_0172,-729.830,-11.571,0.353
3PBL_A_ETQ_0173,-731.890,-11.627,0.312
3PBL_A_ETQ_0174,-736.231,-11.720,0.454
3PBL_A_ETQ_0175,-739.976,-11.521,0.371
3PBL_A_ETQ_0176,-733.362,-11.191,0.360
3PBL_A_ETQ_0177,-732.439,-11.275,0.343
3PBL_A_ETQ_0178,-737.092,-10.707,0.350
3PBL_A_ETQ_0179,-687.776,0.487,6.632
3PBL_A_ETQ_0180,-740.650,-11.629,0.237
3PBL_A_ETQ_0181,-733.824,-11.560,0.334
3PBL_A_ETQ_0182,-732.948,-11.620,0.283
3PBL_A_ETQ_0183,-725.700,-11.945,0.460
3PBL_A_ETQ_0184,-730.372,-11.982,0.352
3PBL_A_ETQ_0185,-727.058,-11.382,0.332
3PBL_A_ETQ_0186,-727.678,-11.631,0.335
3PBL_A_ETQ_0187,-703.880,-4.185,6.605
3PBL_A_ETQ_0188,-730.197,-11.548,0.449
3PBL_A_ETQ_0189,-742.594,-11.890,0.334
3PBL_A_ETQ_0190,-685.886,-8.256,6.645
3PBL_A_ETQ_0191,-710.570,-9.893,2.129
3PBL_A_ETQ_0192,-731.196,-11.653,0.384
3PBL_A_ETQ_0193,-745.600,-11.436,0.326
3PBL_A_ETQ_0194,-738.619,-11.737,0.315
3PBL_A_ETQ_0195,-738.529,-11.419,0.321
3PBL_A_ETQ_0196,-729.061,-11.344,0.281
3PBL_A_ETQ_0197,-733.863,-11.825,0.322
3PBL_A_ETQ_0198,-705.035,-7.317,3.279
3PBL_A_ETQ_0199,-696.263,-5.230,4.715
3PBL_A_ETQ_0200,-741.169,-11.806,0.369
3PBL_A_ETQ_0201,-733.401,-10.931,0.419
3PBL_A_ETQ_0202,-735.840,-11.882,0.299
3PBL_A_ETQ_0203,-738.367,-11.397,0.272
3PBL_A_ETQ_0204,-734.269,-10.971,0.389
3PBL_A_ETQ_0205,-741.570,-12.085,0.410
3PBL_A_ETQ_0206,-739.639,-11.610,0.322
3PBL_A_ETQ_0207,-729.234,-12.297,0.383
3PBL_A_ETQ_0208,-721.583,-11.343,0.317
3PBL_A_ETQ_0209,-732.107,-11.109,0.328
3PBL_A_ETQ_0210,-732.125,-11.756,0.323
3PBL_A_ETQ_0211,-729.632,-12.463,0.373
3PBL_A_ETQ_0212,-739.559,-11.925,0.375
3PBL_A_ETQ_0213,-740.160,-11.417,0.336
3PBL_A_ETQ_0214,-730.950,-11.530,0.287
3PBL_A_ETQ_0215,-723.707,-11.551,0.376
3PBL_A_ETQ_0216,-705.234,-6.943,4.306
3PBL_A_ETQ_0217,-699.114,-8.198,4.283
3PBL_A_ETQ_0218,-736.906,-12.146,0.323
3PBL_A_ETQ_0219,-732.116,-11.437,0.375
3PBL_A_ETQ_0220,-729.833,-11.824,0.245
3PBL_A_ETQ_0221,-732.399,-11.165,0.423
3PBL_A_ETQ_0222,-732.846,-12.089,0.342
3PBL_A_ETQ_0223,-735.561,-11.167,0.329
3PBL_A_ETQ_0224,-739.069,-11.365,0.256
3PBL_A_ETQ_0225,-728.609,-11.394,0.321
3PBL_A_ETQ_0226,-701.886,-2.806,6.631
3PBL_A_ETQ_0227,-733.815,-10.058,0.227
3PBL_A_ETQ_0228,-740.906,-10.908,0.362
3PBL_A_ETQ_0229,-741.462,-11.796,0.412
3PBL_A_ETQ_0230,-735.254,-11.442,0.359
3PBL_A_ETQ_0231,-737.314,-11.163,0.362
3PBL_A_ETQ_0232,-721.234,-6.846,6.477
3PBL_A_ETQ_0233,-725.484,-10.668,0.439
3PBL_A_ETQ_0234,-729.246,-8.834,1.112
3PBL_A_ETQ_0235,-739.435,-11.476,0.330
3PBL_A_ETQ_0236,-739.298,-11.637,0.327
3PBL_A_ETQ_0237,-730.868,-11.199,0.355
3PBL_A_ETQ_0238,-694.167,0.142,6.603
3PBL_A_ETQ_0239,-697.832,-3.137,6.633
3PBL_A_ETQ_0240,-679.619,0.411,3.362
3PBL_A_ETQ_0241,-746.393,-11.671,0.415
3PBL_A_ETQ_0242,-725.577,-11.471,0.275
3PBL_A_ETQ_0243,-727.752,-11.686,0.400
3PBL_A_ETQ_0244,-735.660,-11.554,0.383
3PBL_A_ETQ_0245,-730.828,-11.438,0.275
3PBL_A_ETQ_0246,-733.256,-10.898,0.499
3PBL_A_ETQ_0247,-736.101,-11.786,0.564
3PBL_A_ETQ_0248,-737.958,-11.645,0.333
3PBL_A_ETQ_0249,-742.401,-11.463,0.386
3PBL_A_ETQ_0250,-737.648,-11.545,0.291
